epoch,train_loss,val_mae_C,seg
1,0.0994721521455019,0.6941218972206116,161.6
2,0.07414058012551311,0.6565203070640564,162.9
3,0.07090728955581528,0.6515825390815735,162.3
4,0.06889281642278146,0.6392598152160645,162.9
5,0.06750104033351235,0.6474880576133728,162.8
6,0.06645878602522683,0.6458482146263123,164.0
7,0.06570300924018779,0.6610264778137207,164.0
8,0.06487064280648674,0.6428659558296204,163.1
9,0.06409925920629976,0.6323432326316833,163.2
10,0.06345343089596235,0.6467903852462769,163.8
11,0.06257006162013268,0.6402192115783691,164.2
12,0.0620279931291548,0.6320593357086182,164.0
13,0.06164668577521852,0.6415593028068542,163.8
14,0.06077999653427197,0.6384409070014954,158.5
15,0.06030990865059387,0.6546882390975952,154.8
16,0.059587480493874107,0.6478103399276733,155.4
17,0.05931570461254697,0.6452571153640747,155.1
18,0.05875480852474085,0.6532357931137085,155.8
19,0.057910173110923155,0.6427227258682251,157.2
20,0.05763033240500459,0.6562358736991882,155.5
